ID;MARCA;MODELO
592;PEUGEOT;407
593;PEUGEOT;408
594;PEUGEOT;504
595;PEUGEOT;505
596;PEUGEOT;508
597;PEUGEOT;605
598;PEUGEOT;607
599;PEUGEOT;806
600;PEUGEOT;807
601;PEUGEOT;BOXER
602;PEUGEOT;HOGGAR
603;PEUGEOT;PARTNER
604;PEUGEOT;RCZ
605;PLYMOUTH;GRAN VOYAGER
606;PLYMOUTH;SUNDANCE
607;PONTIAC;TRANS-AM
608;PONTIAC;TRANS-SPORT
609;PORSCHE;911
612;PORSCHE;BOXSTER
613;PORSCHE;CAYENNE
614;PORSCHE;CAYMAN
615;PORSCHE;PANAMERA
617;RENAULT;21 SEDAN
618;RENAULT;CLIO
619;RENAULT;DUSTER
620;RENAULT;EXPRESS
621;RENAULT;FLUENCE
622;RENAULT;KANGOO
623;RENAULT;LAGUNA
624;RENAULT;LOGAN
625;RENAULT;MASTER
626;RENAULT;MEGANE
627;RENAULT;SAFRANE
628;RENAULT;SANDERO
629;RENAULT;SCENIC
630;RENAULT;SYMBOL
631;RENAULT;TRAFIC
632;RENAULT;TWINGO
634;SAAB;9000
635;SATURN;SL-2
636;SEAT;CORDOBA
637;SEAT;IBIZA
638;SEAT;INCA
641;SMART;FORTWO
642;SSANGYONG;ACTYON SPORTS
643;SSANGYONG;CHAIRMAN
644;SSANGYONG;ISTANA
645;SSANGYONG;KORANDO
646;SSANGYONG;KYRON
647;SSANGYONG;MUSSO
648;SSANGYONG;REXTON
649;SUBARU;FORESTER
650;SUBARU;IMPREZA
651;SUBARU;LEGACY
652;SUBARU;OUTBACK
653;SUBARU;SVX
654;SUBARU;TRIBECA
655;SUBARU;VIVIO
656;SUZUKI;BALENO
657;SUZUKI;GRAND VITARA
658;SUZUKI;IGNIS
660;SUZUKI;JIMNY
662;SUZUKI;SUPER CARRY
663;SUZUKI;SWIFT
664;SUZUKI;SX4
665;SUZUKI;VITARA
666;SUZUKI;WAGON R
667;TAC;STARK
668;TOYOTA;AVALON
669;TOYOTA;BANDEIRANTE
670;TOYOTA;CAMRY
671;TOYOTA;CELICA
672;TOYOTA;COROLLA
673;TOYOTA;CORONA
674;TOYOTA;HILUX
675;TOYOTA;LAND CRUISER
676;TOYOTA;MR-2
677;TOYOTA;PASEO
678;TOYOTA;PREVIA
679;TOYOTA;RAV4
680;TOYOTA;SUPRA
682;TROLLER;PANTANAL
684;TROLLER;T-4
685;VOLVO;400 SERIES
687;VOLVO;850
688;VOLVO;900 SERIES
700;VOLKSWAGEN;AMAROK
701;VOLKSWAGEN;APOLLO
702;VOLKSWAGEN;BORA
703;VOLKSWAGEN;CARAVELLE
704;VOLKSWAGEN;CORRADO
706;VOLKSWAGEN;EOS
707;VOLKSWAGEN;EUROVAN
708;VOLKSWAGEN;FOX
709;VOLKSWAGEN;FUSCA
710;VOLKSWAGEN;GOL
711;VOLKSWAGEN;GOLF
713;VOLKSWAGEN;JETTA
714;VOLKSWAGEN;KOMBI
715;VOLKSWAGEN;LOGUS
717;VOLKSWAGEN;PARATI
718;VOLKSWAGEN;PASSAT
719;VOLKSWAGEN;POINTER
720;VOLKSWAGEN;POLO
722;VOLKSWAGEN;SANTANA
723;VOLKSWAGEN;SAVEIRO
725;VOLKSWAGEN;SPACEFOX
726;VOLKSWAGEN;TIGUAN
727;VOLKSWAGEN;TOUAREG
729;VOLKSWAGEN;VOYAGE
732;ACURA;ZDX
737;FIAT;140
755;VOLKSWAGEN;BRASILIA
756;FORD;BRASILVAN
775;FORD;CORCEL
803;FIAT;PALIO WEEKEND
806;FORD;FOCUS SEDAN
807;FORD;FIESTA SEDAN
808;FORD;FIESTA TRAIL
810;PEUGEOT;207 SW
811;FORD;ESCORT SW
812;PEUGEOT;307 SEDAN
813;PEUGEOT;307 SW
815;CITROEN;C4 PALLAS
816;CITROEN;C4 PICASSO
817;CITROEN;C4 VTR
818;RENAULT;CLIO SEDAN
819;TOYOTA;COROLLA FIELDER
824;TOYOTA;HILUX SW4
825;RENAULT;MEGANE GRAND TOUR
827;RENAULT;SANDERO STEPWAY
829;CITROEN;XSARA PICASSO
1360;UTILITARIOS AGRICOLAS;COLHEITADEIRA
1361;WILLYS OVERLAND;PICKUP F75
1362;GURGEL;X12
1365;CHEVROLET;BEL AIR
1366;BMW;RX
1369;CHEVROLET;C-14
1370;CADILLAC;SRX4
